hhid,child_sex,child_age,home_language,stories_songs,read,confident,how_well_demands,primary_cg_ed,ACE,state
17122830,Male,5,English,0 days,Every day,Mostly confident,Somewhat well,Master’s Degree,1,Oregon
17123018,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Utah
17123023,Female,5,English,1-3 days,1-3 days,Mostly confident,Very well,Associate Degree,1,Utah
17123099,Male,5,English,4-6 days,Every day,Completely confident,Very well,Master’s Degree,1,Washington
17123309,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Master’s Degree,1,Illinois
17123417,Female,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",Exp 2 ACE,Oklahoma
17123618,Female,5,Other,4-6 days,4-6 days,Mostly confident,Very well,Bachelor’s Degree,1,New Jersey
17123968,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,8th grade or less,Exp 2 ACE,Massachusetts
17124127,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,North Dakota
17124567,Female,5,Other,4-6 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,Connecticut
17124863,Female,5,English,Every day,Every day,Somewhat confident,Very well,Master’s Degree,1,Maryland
17125363,Male,5,Other,1-3 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Delaware
17125425,Male,5,English,1-3 days,Every day,Completely confident,Somewhat well,Master’s Degree,1,New Jersey
17125499,Female,5,English,1-3 days,1-3 days,Mostly confident,Somewhat well,Bachelor’s Degree,1,Idaho
17125577,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Master’s Degree,1,District of Columbia
17126103,Female,5,English,Every day,Every day,Completely confident,Very well,High School Graduate or GED,1,Texas
17126114,Male,5,English,1-3 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Tennessee
17126337,Male,5,English,Every day,Every day,Completely confident,Very well,High School Graduate or GED,Exp 1 ACE,Tennessee
17126444,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,Master’s Degree,1,Wisconsin
17126802,Male,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",Exp 1 ACE,Kansas
17127321,Female,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,Mississippi
