hhid,child_sex,child_age,home_language,stories_songs,read,confident,how_well_demands,primary_cg_ed,ACE,state
17000257,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Associate Degree,1,Kentucky
17000277,Male,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Hawaii
17000279,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Hawaii
17001318,Male,5,English,4-6 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,Georgia
17001676,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,South Dakota
17001796,Female,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Oklahoma
17001912,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Ohio
17002071,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,California
17002180,Female,5,English,1-3 days,Every day,Completely confident,Very well,Associate Degree,1,Wisconsin
17002830,Female,5,English,Every day,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Nebraska
17003154,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Associate Degree,Exp 1 ACE,Alabama
17003179,Male,5,English,1-3 days,4-6 days,Completely confident,Very well,Master’s Degree,1,Tennessee
17003323,Male,5,English,Every day,Every day,Somewhat confident,Very well,Doctorate,1,Oregon
17003468,Female,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,Exp 1 ACE,Colorado
17003472,Male,5,English,4-6 days,1-3 days,Completely confident,Very well,Master’s Degree,Exp 2 ACE,Ohio
17003569,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Washington
17003639,Male,5,English,Every day,Every day,Completely confident,Very well,Associate Degree,1,Maryland
17003662,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Mississippi
17003728,Male,5,English,1-3 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Maine
17004202,Male,5,English,Every day,1-3 days,Mostly confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,Arizona
17004315,Male,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,Arizona
17004791,Female,5,Other,1-3 days,1-3 days,Mostly confident,Very well,Master’s Degree,1,Arizona
17004880,Male,5,English,4-6 days,Every day,Completely confident,Somewhat well,Doctorate,1,New Hampshire
17004982,Male,5,English,Every day,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Idaho
17005090,Male,5,English,0 days,4-6 days,Completely confident,Very well,Doctorate,1,New Hampshire
17005233,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Rhode Island
17005410,Female,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,Colorado
17006282,Female,5,Other,4-6 days,1-3 days,Completely confident,Very well,Master’s Degree,Exp 1 ACE,Virginia
17006537,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,"Vocational, trade, or business school program",1,Iowa
17006726,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Iowa
17006729,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Master’s Degree,1,Nebraska
17006730,Male,5,English,4-6 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,Nebraska
17006788,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Georgia
17007235,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Nebraska
17007522,Male,5,English,Every day,Every day,Completely confident,Very well,9th-12th grade; No diploma,Exp 1 ACE,Mississippi
17007540,Female,5,English,Every day,1-3 days,Completely confident,Somewhat well,Associate Degree,1,West Virginia
17007555,Female,5,English,4-6 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,California
17008080,Male,5,English,4-6 days,1-3 days,Completely confident,Somewhat well,Associate Degree,Exp 2 ACE,Colorado
17008240,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Kentucky
17008884,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,South Carolina
17008945,Male,5,English,Every day,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Colorado
17009054,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Associate Degree,1,Minnesota
17009342,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,"Vocational, trade, or business school program",1,Oklahoma
17009529,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Texas
17009870,Male,5,English,1-3 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,Alaska
17009897,Female,5,English,4-6 days,4-6 days,Completely confident,Somewhat well,"Some College Credit, no Degree",1,Alaska
17010105,Male,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Master’s Degree,1,New Jersey
17010750,Female,5,English,Every day,Every day,Completely confident,Somewhat well,"Some College Credit, no Degree",Exp 1 ACE,Michigan
17011157,Female,5,English,4-6 days,Every day,Completely confident,Very well,Master’s Degree,1,Hawaii
17011316,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Hawaii
17011890,Male,5,English,1-3 days,Every day,Mostly confident,Somewhat well,"Some College Credit, no Degree",1,Ohio
17011912,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",Exp 2 ACE,Kentucky
17012032,Male,5,English,1-3 days,1-3 days,Mostly confident,Somewhat well,Bachelor’s Degree,1,Minnesota
17012217,Female,5,English,4-6 days,Every day,Completely confident,Very well,High School Graduate or GED,1,Montana
17012342,Female,5,English,1-3 days,Every day,Completely confident,Very well,Master’s Degree,1,Louisiana
17012445,Female,5,English,0 days,Every day,Completely confident,Somewhat well,Master’s Degree,1,Missouri
17012687,Male,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Wisconsin
17012720,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,West Virginia
17012886,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Associate Degree,1,Wisconsin
17012901,Female,5,English,Every day,Every day,Completely confident,Very well,High School Graduate or GED,Exp 1 ACE,Louisiana
17013142,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Louisiana
17013496,Male,5,English,1-3 days,Every day,Completely confident,Somewhat well,"Vocational, trade, or business school program",Exp 1 ACE,South Carolina
17013560,Female,5,English,4-6 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Louisiana
17013583,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Maryland
17014333,Female,5,English,Every day,4-6 days,Completely confident,Very well,Associate Degree,1,Washington
17015122,Male,5,English,1-3 days,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Minnesota
17015236,Male,5,English,1-3 days,1-3 days,Somewhat confident,Somewhat well,Master’s Degree,Exp 1 ACE,Pennsylvania
17015491,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Doctorate,1,Montana
17015621,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,Exp 1 ACE,Idaho
17015754,Female,5,English,1-3 days,Every day,Completely confident,Very well,Bachelor’s Degree,Exp 1 ACE,Utah
17015773,Male,5,English,4-6 days,1-3 days,Mostly confident,Somewhat well,Master’s Degree,Exp 1 ACE,Ohio
17015967,Male,5,English,4-6 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,Wyoming
17016132,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Master’s Degree,1,New Hampshire
17016262,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Maine
17016638,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Utah
17016752,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,Washington
17016998,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",Exp 1 ACE,New York
17017103,Male,5,English,1-3 days,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Georgia
17017345,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Louisiana
17017373,Male,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,1,Wyoming
17017394,Male,5,English,1-3 days,1-3 days,Mostly confident,Somewhat well,Associate Degree,1,Idaho
17017559,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,Kentucky
17017669,Female,5,English,4-6 days,1-3 days,Mostly confident,Very well,Associate Degree,1,Georgia
17017743,Male,5,English,4-6 days,4-6 days,Completely confident,Very well,Master’s Degree,1,Ohio
17017895,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Iowa
17017955,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Master’s Degree,1,Arkansas
17018012,Female,5,English,4-6 days,4-6 days,Mostly confident,Very well,Associate Degree,Exp 1 ACE,Mississippi
17018074,Male,5,English,4-6 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Kentucky
17018442,Male,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Montana
17018592,Female,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,South Dakota
17018641,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Alabama
17018708,Male,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Master’s Degree,1,South Dakota
17018934,Male,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Pennsylvania
17019050,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",Exp 1 ACE,Wisconsin
17019160,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,Exp 1 ACE,Michigan
17020349,Male,5,English,1-3 days,1-3 days,Mostly confident,Very well,9th-12th grade; No diploma,1,Mississippi
17020497,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Colorado
17020548,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Doctorate,Exp 1 ACE,Ohio
17021228,Female,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,Alaska
17021302,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,Exp 1 ACE,Idaho
17021897,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,High School Graduate or GED,1,Wisconsin
17022087,Male,5,English,Every day,4-6 days,Somewhat confident,Very well,Bachelor’s Degree,Exp 1 ACE,Arkansas
17022664,Female,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,Hawaii
17022701,Female,5,Spanish,1-3 days,1-3 days,Mostly confident,Somewhat well,Bachelor’s Degree,Exp 2 ACE,Nevada
17023244,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Master’s Degree,Exp 1 ACE,Nevada
17023806,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Master’s Degree,Exp 1 ACE,Nebraska
17023858,Female,5,English,0 days,Every day,Completely confident,Somewhat well,Doctorate,1,North Carolina
17023937,Male,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Master’s Degree,1,Michigan
17024061,Female,5,English,Every day,Every day,Somewhat confident,Somewhat well,Associate Degree,1,North Carolina
17024197,Female,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Montana
17024295,Male,5,English,Every day,Every day,Completely confident,Somewhat well,Doctorate,1,Virginia
17024378,Male,5,English,4-6 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,New York
17024477,Male,5,Spanish,Every day,4-6 days,Mostly confident,Somewhat well,"Vocational, trade, or business school program",Exp 2 ACE,California
17024534,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,North Carolina
17026217,Female,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,1,Washington
17026292,Female,5,English,Every day,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Arkansas
17026336,Male,5,English,Every day,Every day,Completely confident,Somewhat well,Associate Degree,1,Maryland
17026534,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Wyoming
17026658,Male,5,English,1-3 days,1-3 days,Somewhat confident,Very well,"Some College Credit, no Degree",Exp 2 ACE,Arkansas
17026760,Female,5,English,1-3 days,Every day,Completely confident,Somewhat well,Doctorate,Exp 1 ACE,Alaska
17026982,Male,5,English,4-6 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,North Dakota
17027173,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Master’s Degree,1,Virginia
17027250,Male,5,English,1-3 days,4-6 days,Mostly confident,Somewhat well,High School Graduate or GED,Exp 1 ACE,New Mexico
17027390,Female,5,English,1-3 days,1-3 days,Mostly confident,Very well,Associate Degree,1,New Hampshire
17027777,Male,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Louisiana
17028090,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,Hawaii
17028222,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,Hawaii
17028267,Male,5,English,Every day,Every day,Mostly confident,Very well,Bachelor’s Degree,Exp 1 ACE,Maine
17028634,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Texas
17029060,Female,5,English,4-6 days,1-3 days,Completely confident,Somewhat well,"Vocational, trade, or business school program",Exp 2 ACE,Tennessee
17029204,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Vocational, trade, or business school program",1,Minnesota
17029292,Female,5,English,4-6 days,Every day,Completely confident,Very well,Bachelor’s Degree,Exp 1 ACE,Alaska
17029663,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,Exp 1 ACE,Texas
17029807,Male,5,English,1-3 days,Every day,Mostly confident,Somewhat well,"Some College Credit, no Degree",Exp 1 ACE,Wisconsin
17030051,Male,5,English,4-6 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Florida
17030199,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,"Vocational, trade, or business school program",1,Utah
17030450,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Doctorate,1,Utah
17030477,Female,5,English,0 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Utah
17030798,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,Exp 2 ACE,Wisconsin
17030876,Male,5,English,Every day,Every day,Mostly confident,Somewhat well,Master’s Degree,Exp 1 ACE,Massachusetts
17030996,Male,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,Missouri
17031170,Male,5,English,4-6 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,New Jersey
17031369,Male,5,English,1-3 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,New Mexico
17031413,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Connecticut
17031437,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,High School Graduate or GED,Exp 2 ACE,Ohio
17031464,Female,5,English,Every day,Every day,Completely confident,Somewhat well,"Some College Credit, no Degree",Exp 1 ACE,Connecticut
17031578,Male,5,English,4-6 days,Every day,Completely confident,Very well,"Some College Credit, no Degree",Exp 1 ACE,Wyoming
17032066,Female,5,English,4-6 days,Every day,Completely confident,Very well,9th-12th grade; No diploma,Exp 2 ACE,Missouri
17032183,Male,5,English,Every day,4-6 days,Completely confident,Somewhat well,Doctorate,1,Indiana
17032391,Female,5,English,Every day,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,North Dakota
17032403,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,High School Graduate or GED,Exp 1 ACE,Georgia
17032489,Male,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,High School Graduate or GED,Exp 1 ACE,South Carolina
17032586,Female,5,English,Every day,1-3 days,Completely confident,Very well,Bachelor’s Degree,Exp 2 ACE,Montana
17032754,Female,5,English,Every day,Every day,Completely confident,Very well,Associate Degree,1,Kentucky
17033274,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,High School Graduate or GED,Exp 1 ACE,Connecticut
17033585,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Associate Degree,Exp 1 ACE,Oklahoma
17033761,Female,5,English,Every day,Every day,Completely confident,Very well,High School Graduate or GED,1,Texas
17033791,Male,5,Spanish,4-6 days,4-6 days,Completely confident,Very well,Master’s Degree,Exp 1 ACE,Illinois
17033840,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,Exp 2 ACE,Texas
17034054,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Doctorate,1,Montana
17034199,Male,5,English,Every day,Every day,Completely confident,Somewhat well,"Some College Credit, no Degree",Exp 1 ACE,Montana
17034259,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,Oklahoma
17034431,Female,5,Other,0 days,0 days,Mostly confident,Somewhat well,"Vocational, trade, or business school program",1,Nevada
17034449,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,Master’s Degree,1,Wyoming
17034450,Female,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Idaho
17034715,Male,5,English,0 days,Every day,Not at all confident,Very well,High School Graduate or GED,Exp 1 ACE,Tennessee
17034840,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,High School Graduate or GED,1,Iowa
17034849,Male,5,English,1-3 days,1-3 days,Mostly confident,Very well,High School Graduate or GED,Exp 2 ACE,Michigan
17034977,Male,5,English,1-3 days,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Iowa
17035042,Male,5,English,4-6 days,Every day,Completely confident,Somewhat well,Master’s Degree,1,Oklahoma
17035184,Male,5,English,0 days,1-3 days,Completely confident,Very well,High School Graduate or GED,1,Georgia
17035568,Male,5,Spanish,4-6 days,4-6 days,Somewhat confident,Somewhat well,Associate Degree,Exp 2 ACE,Kentucky
17036621,Female,5,English,1-3 days,Every day,Mostly confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,Oregon
17036811,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Washington
17036903,Male,5,English,Every day,Every day,Completely confident,Somewhat well,Doctorate,Exp 1 ACE,Colorado
17037885,Male,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Washington
17038088,Male,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,New York
17038401,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Vermont
17038456,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,"Some College Credit, no Degree",1,Alaska
17038589,Female,5,English,1-3 days,4-6 days,Mostly confident,Somewhat well,"Some College Credit, no Degree",Exp 2 ACE,Louisiana
17038858,Male,5,English,4-6 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Montana
17038870,Female,5,Other,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,1,New Hampshire
17039123,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,New Hampshire
17039208,Female,5,English,4-6 days,Every day,Completely confident,Very well,Doctorate,1,Ohio
17039567,Female,5,English,4-6 days,4-6 days,Mostly confident,Very well,"Some College Credit, no Degree",Exp 1 ACE,New Jersey
17039591,Female,5,Other,Every day,Every day,Completely confident,Very well,Master’s Degree,1,New Mexico
17039829,Female,5,English,Every day,4-6 days,Mostly confident,Very well,Bachelor’s Degree,Exp 2 ACE,Connecticut
17040174,Female,5,Other,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Idaho
17040699,Male,5,English,4-6 days,4-6 days,Mostly confident,Somewhat well,"Vocational, trade, or business school program",1,Virginia
17040847,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Michigan
17040959,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Associate Degree,1,Minnesota
17041010,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Minnesota
17041021,Female,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,Minnesota
17041051,Male,5,English,Every day,Every day,Completely confident,Very well,High School Graduate or GED,Exp 1 ACE,Ohio
17041110,Female,5,English,4-6 days,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,South Dakota
17041265,Female,5,Other,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Georgia
17041386,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Oklahoma
17041457,Male,5,English,Every day,1-3 days,Completely confident,Very well,Master’s Degree,1,Virginia
17041556,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,High School Graduate or GED,Exp 1 ACE,West Virginia
17041642,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,South Dakota
17041671,Male,5,English,4-6 days,4-6 days,Completely confident,Somewhat well,Master’s Degree,1,California
17042187,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Alabama
17042461,Male,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,"Vocational, trade, or business school program",Exp 1 ACE,Oklahoma
17043080,Male,5,English,4-6 days,Every day,Mostly confident,Very well,Doctorate,1,Texas
17043289,Female,5,English,Every day,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Tennessee
17043300,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Maryland
17043639,Female,5,English,4-6 days,4-6 days,Completely confident,Somewhat well,Doctorate,1,Maryland
17043738,Male,5,English,1-3 days,0 days,Mostly confident,Somewhat well,Associate Degree,Exp 2 ACE,Wisconsin
17043846,Male,5,English,0 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Wyoming
17044167,Female,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Washington
17044233,Female,5,English,1-3 days,1-3 days,Mostly confident,Somewhat well,Bachelor’s Degree,Exp 2 ACE,Connecticut
17044804,Female,5,English,Every day,1-3 days,Completely confident,Very well,"Vocational, trade, or business school program",Exp 1 ACE,Vermont
17044820,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Arkansas
17044864,Male,5,English,1-3 days,4-6 days,Mostly confident,Very well,High School Graduate or GED,1,Maryland
17044911,Male,5,English,4-6 days,1-3 days,Completely confident,Very well,Doctorate,1,Louisiana
17044950,Female,5,English,4-6 days,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Arizona
17045127,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,Exp 2 ACE,Indiana
17045163,Male,5,English,Every day,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Delaware
17045195,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Indiana
17045272,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Hawaii
17045350,Female,5,Spanish,1-3 days,1-3 days,Mostly confident,Somewhat well,"Vocational, trade, or business school program",1,Nevada
17045484,Male,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Master’s Degree,Exp 2 ACE,Wyoming
17045595,Male,5,English,4-6 days,Every day,Completely confident,Very well,Master’s Degree,1,District of Columbia
17045946,Female,5,English,1-3 days,4-6 days,Mostly confident,Somewhat well,Master’s Degree,1,Indiana
17045957,Male,5,English,Every day,Every day,Completely confident,Somewhat well,Master’s Degree,1,Iowa
17046029,Female,5,English,1-3 days,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Iowa
17046050,Male,5,English,1-3 days,Every day,Completely confident,Very well,Bachelor’s Degree,Exp 2 ACE,North Carolina
17046243,Male,5,English,0 days,4-6 days,Not at all confident,Somewhat well,Bachelor’s Degree,Exp 2 ACE,Alaska
17046479,Male,5,English,0 days,1-3 days,Mostly confident,Very well,"Some College Credit, no Degree",Exp 2 ACE,Kansas
17046527,Male,5,English,1-3 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,Pennsylvania
17047287,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Master’s Degree,Exp 1 ACE,Georgia
17047657,Female,5,English,1-3 days,1-3 days,Somewhat confident,Very well,Bachelor’s Degree,Exp 1 ACE,Washington
17047881,Male,5,English,4-6 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,Exp 1 ACE,Washington
17048080,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Associate Degree,Exp 1 ACE,Kentucky
17048100,Female,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,Louisiana
17048406,Female,5,English,1-3 days,Every day,Completely confident,Somewhat well,"Some College Credit, no Degree",1,Vermont
17048808,Male,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Virginia
17049228,Male,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",Exp 2 ACE,Tennessee
17049638,Male,5,English,Every day,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Georgia
17049696,Female,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,Washington
17050079,Male,5,English,Every day,4-6 days,Somewhat confident,Very well,"Some College Credit, no Degree",1,Vermont
17050120,Male,5,English,1-3 days,Every day,Completely confident,Very well,High School Graduate or GED,1,Alaska
17050288,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Associate Degree,1,New Hampshire
17050349,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Vermont
17051301,Male,5,English,4-6 days,4-6 days,Mostly confident,Somewhat well,Master’s Degree,Exp 1 ACE,West Virginia
17051426,Male,5,English,Every day,1-3 days,Mostly confident,Somewhat well,Bachelor’s Degree,1,Idaho
17051437,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Alabama
17051515,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,South Dakota
17052349,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Tennessee
17052545,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Iowa
17052547,Male,5,Other,4-6 days,1-3 days,Not at all confident,Somewhat well,"Some College Credit, no Degree",Exp 1 ACE,Tennessee
17052655,Male,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,Kansas
17052889,Female,5,English,Every day,Every day,Not at all confident,Very well,Associate Degree,1,Alabama
17052911,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,1,South Dakota
17053095,Male,5,English,0 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,Exp 2 ACE,Iowa
17053428,Female,5,English,1-3 days,Every day,Mostly confident,Very well,"Some College Credit, no Degree",1,Michigan
17053443,Female,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,1,West Virginia
17053699,Female,5,English,0 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Florida
17053794,Male,5,English,4-6 days,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,Kentucky
17053981,Male,5,English,Every day,Every day,Mostly confident,Somewhat well,Bachelor’s Degree,1,Colorado
17054490,Male,5,English,1-3 days,1-3 days,Mostly confident,Somewhat well,Doctorate,Exp 1 ACE,Illinois
17054695,Female,5,Other,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,California
17054898,Male,5,English,4-6 days,4-6 days,Completely confident,Very well,Master’s Degree,Exp 1 ACE,Wyoming
